"Title","Description","PublishedAt","Source"
"Columbia University has a doxxing problem","The Columbia student encampment protesting the university’s ties to Israel has become a flashpoint of the culture war. Doxxings from the outside have irrevocably shaped campus discourse on the Israel-Hamas war.","2024-04-26T16:45:54Z","The Verge"
"Apple Store Employees Say Coworkers Were Disciplined for Supporting Palestinians","A protest is planned Saturday at a Chicago Apple store where workers say managers disciplined staff—and fired an employee—for wearing pins, bracelets, or keffiyeh in support of Palestinian people.","2024-04-02T11:00:00Z","Wired"
"The Solar Eclipse Is the Super Bowl for Conspiracists","Far-right conspiracy theorists are claiming that “elites” will use the eclipse to control humanity, sway the presidential election, and everything else under the sun.","2024-04-05T14:57:46Z","Wired"
"Donald Trump appears to endorse pro-Palestine 'genocide Joe' chant at rally: 'They're not wrong'","Trump blamed Iran's drone and missile attacks on Israel on President Joe Biden's ""weakness"" during a speech at a Pennsylvania rally.","2024-04-14T12:03:36Z","Business Insider"
"The Papers: 'World waits on Iran' and Sunak gets tough on benefits","The newspapers join the world in watching and wondering how Israel and Iran will respond to each other's attacks.","2024-04-20T00:09:57Z","BBC News"
"The Only Path Forward","The question of Israel and Palestine must be reframed and recalibrated.","2024-04-17T10:00:00Z","The Atlantic"
"Where are the Gaza protests at US universities?","Protests have erupted across more than two dozen campuses, including New York, Texas and California.","2024-04-26T00:41:29Z","BBC News"
"Jon Stewart says the Arab states won't give Palestinians citizenship because they're really terrified of the 'Islamists' they backed","Stewart said Arab nations aren't opening their doors to Palestinians because they're ""scared"" of all the ""Islamists"" that they helped foster.","2024-04-09T07:08:56Z","Business Insider"
"Google is nixing the thumbs-down reaction from an internal forum after employee spats over Gaza","Some Google employees are worried the company is trying to ""kill Memegen,"" the message board where workers often make jokes about the company.","2024-04-09T00:26:02Z","Business Insider"
"Report on UNRWA concludes Israel has not provided evidence of employees' militancy","An independent review commissioned by the United Nations did not have a mandate to investigate Israel's other claim that a dozen UNRWA employees took part in the Oct. 7 Hamas-led attack on Israel.","2024-04-23T18:53:36Z","NPR"
"The U.S. Vetoes Resolution to Upgrade Palestine’s U.N. Membership","The Security Council veto has triggered backlash as global divisions continue to sharpen over Israel’s war on Gaza.","2024-04-19T05:05:00Z","Time"
"Most doxxing campaigns only last a few days. But the effects can be felt for months","Doxxing campaigns have been used to ""name and shame"" people who have expressed opinions about the Israel-Hamas war.","2024-04-11T09:01:09Z","NPR"
"Concerns over antisemitism rise as Jews begin observing Passover","Protests on college campuses related to the Israel-Hamas War have many Jews nervous heading into the holiday.","2024-04-23T09:01:20Z","NPR"
"What do we know about the aid convoy strike?","BBC Verify sets out what we know about the strike.","2024-04-02T18:40:13Z","BBC News"
"US again warns Israel against Rafah offensive","Benjamin Netanyahu's representatives have agreed to take US concerns ""into account"", the White House says.","2024-04-19T00:45:34Z","BBC News"
"Israel strikes Iran, U.S. official says; Taylor Swift's 'Tortured Poets' is here","Israel has launched a strike against Iran, a U.S. official tells NPR. Taylor Swift's highly anticipated ""Tortured Poets Department"" is here.","2024-04-19T12:12:28Z","NPR"
"Israel-Gaza live updates: 22, including 18 children, reported dead in Rafah strikes","Six months after Hamas terrorists invaded Israel on Oct. 7, the Israeli military continues its bombardment of the neighboring Gaza Strip.","2024-04-22T04:55:37Z","ABC News"
"TIME100 Honoree Motaz Azaiza Speaks on the Gaza Solidarity Encampments Taking Over U.S. Colleges","Motaz Azaiza recently visited students at Columbia University and New York University and told TIME about the experience.","2024-04-26T03:21:45Z","Time"
"Scenes From Pro-Palestinian Encampments Across U.S. Universities","Pro-Palestinian encampments have started on more than a dozen American college campuses.","2024-04-23T20:29:51Z","Time"
"Pro-Palestinian encampments and protests spread on college campuses across the U.S.","After dozens of pro-Palestinian protesters were arrested at Columbia, Yale and NYU, students at colleges from Massachusetts to Minnesota to California are erecting encampments in solidarity.","2024-04-23T17:49:59Z","NPR"
"Berkeley Law Student Protests at Dean’s House: How Experts and Advocates Are Reacting","A pro-Palestinian student activist was confronted for disrupting an event at a dean’s private residence, reigniting heated debate over free speech amid Gaza war tensions on college campuses.","2024-04-12T06:22:00Z","Time"
"Hamas official says group would lay down its weapons if a two-state solution is implemented","A top Hamas political official told The Associated Press the Islamic militant group is willing to agree to a truce of five years or more with Israel and that...","2024-04-25T04:26:17Z","Yahoo Entertainment"
"Israel's military admits to a series of errors that led to the killing of 7 aid workers: 'It shouldn't have happened'","The military said it mistakenly identified World Central Kitchen's aid convoy as armed Hamas operatives.","2024-04-05T15:48:28Z","Business Insider"
"False Flag: Social media erupts over Apple's predictive text Palestine blunder","Apple's predictive text system has prompted claims of antisemitism against the iPhone maker, by serving the Palestinian flag after users type in Jerusalem.An example of the Palestinian flag showing as a predictive text suggestion for Jerusalem in iMessageAppl…","2024-04-10T16:32:16Z","AppleInsider"
"A student club is suing its school, saying its pro-Palestinian views were censored","Members of the Washington, D.C., school Arab students club say their rights were violated ""because the school does not want their viewpoint ... to be heard.""","2024-04-27T12:00:12Z","NPR"
"The untold story of Arab Jews — and their solidarity with Palestinians","You can’t understand Israel-Palestine without understanding Mizrahi Jews.","2024-04-11T10:00:00Z","Vox"
"I Am a Jewish Student at Columbia","Smears from the press and pro-Israel influencers are a dangerous distraction from real threats to our safety.","2024-04-24T06:38:41Z","Zeteo.com"
"A deadly Israeli strike in Syria ratchets up a years-long shadow war with Iran that could again put US forces in the crosshairs","War experts say Iran may retaliate for the attack in Damascus in part by targeting American troops based in the Middle East. It's done it before.","2024-04-05T11:15:01Z","Business Insider"
"'Our community has never had this much power': How Dearborn became the epicenter of Biden's 2024 headaches over Israel","","2024-04-13T12:57:02Z","Business Insider"
"What Professors Owe Our Students Right Now","""If we are to reclaim our university, faculty and students must do it together,"" writes Barnard professor Nara Milanech.","2024-04-26T11:00:00Z","Time"
"6 months into the Israel-Hamas war, the tragic human toll by the numbers","As the Israel-Hamas war reaches the 6-month mark, here is a look at the conflict by the numbers, including how many have been killed and injured.","2024-04-07T09:26:22Z","ABC News"
"Iranians Don’t Want a War With Israel","The people of Iran know that their main enemy is at home.","2024-04-14T11:39:01Z","The Atlantic"
"Pro-Palestinian Columbia Student Protests Continue Despite Arrests, Suspensions","Pro-Palestinian student protesters at Columbia continued to occupy part of the campus lawn after several were arrested Thursday.","2024-04-19T23:00:25Z","Time"
"Germany defends genocide case at top UN court","The country has been accused of ""facilitating"" genocide by providing arms to Israel.","2024-04-09T11:02:32Z","BBC News"
"Pro-Palestinian demonstrators shut down airport highways and bridges in major cities","Pro-Palestinian demonstrators blocked roadways in Illinois, California, New York and the Pacific Northwest on Monday, temporarily shutting down travel into some of the nation's airports.","2024-04-16T06:58:15Z","NPR"
"College protesters seek amnesty to keep arrests and suspensions from trailing them","Maryam Alwan figured the worst was over after New York City police in riot gear arrested her and other protesters on the Columbia University campus, loaded...","2024-04-28T04:09:35Z","Yahoo Entertainment"
"As Palestine applies for full UN membership, what’s in the way?","History set to be repeated as US prepares to wield veto, insisting Palestine must negotiate statehood with Israel first.","2024-04-09T12:01:15Z","Al Jazeera English"
"USC Faces Backlash Over Alleged ‘Censorship’ of Pro-Palestinian Valedictorian’s Speech","The University of Southern California has been accused of “censorship” after canceling Asna Tabassum’s commencement address in the name of safety concerns.","2024-04-16T08:00:00Z","Time"
"An American Professor Was Hounded Out of Malaysia After Saying Its Pro-Palestinian Government Advocates a ‘Second Holocaust’","Bruce Gilley, a professor at Portland State University, drew anger across Malaysia after likening the country’s pro-Palestinian stance to advocating a “second Holocaust” during a visiting lecture.","2024-04-25T11:00:00Z","Time"
"I spoke with a Google worker fired for protesting $1.2B Israel contract","""It was a complete overreaction on their part to not only fire everyone who was and wasn't involved, but then also threaten everyone else in the company who would dare think to stand up against this...it feels like a very fascist environment.""","2024-04-19T14:12:26Z","Thehandbasket.co"
"Land Day: What happened in Palestine in 1976?","Every year on March 30, Palestinians demonstrate their commitment to resisting Israeli occupation.","2024-03-30T07:05:41Z","Al Jazeera English"
"Australian students join protests for Palestine","Students from universities in Australia are joining their American peers in protests for Palestine","2024-04-26T18:26:19Z","Al Jazeera English"
"Tunisia’s Saied is a hypocrite on Palestine","The authoritarian president's fiery rhetoric on Palestine is not backed by any meaningful action.","2024-04-08T06:56:58Z","Al Jazeera English"
"Columbia University’s Impossible Position","What happens when protest culture and antidiscrimination law keep coming into conflict?","2024-04-26T13:15:00Z","The Atlantic"
"USC says it is canceling its valedictorian speech because of safety concerns","Asna Tabassum received some backlash about her social media content on the conflict between Israel and Palestine. Tabassum said she questions the university's reasoning for canceling the speech.","2024-04-16T08:44:53Z","NPR"
"Jewish celebrities support Jonathan Glazer amid continued Oscars speech fallout","Over a hundred celebrities have signed an open letter in support of Jonathan Glazer, the Zone Of Interest director who used the platform of his Oscars acceptance to make a statement about the ongoing suffering in Palestine. (“Whether the victims of October th…","2024-04-05T17:28:49Z","The A.V. Club"
"Is Israel a “settler-colonial” state? The debate, explained","The historical discussion at the heart of Israeli-Palestinian conflict.","2024-04-17T16:00:00Z","Vox"
"Spain leads European push to recognise Palestine, risking Israel’s wrath","Spain, Ireland, Malta and Slovenia are expected to make the move, which will hold historic symbolism.","2024-04-17T12:39:55Z","Al Jazeera English"
"Are more European nations finally moving to recognise Palestine statehood?","Spain and Ireland are discussing a collective plan to recognise Palestine as a state amid Israel's war on Gaza.","2024-04-12T13:01:33Z","Al Jazeera English"
"Apple employees urge management to act on Gaza conflict","A group of Apple employees are urging Apple's leadership to do more for the Palestinian community, accusing the iPhone maker of punishing workers for taking a public stance on the Gaza conflict.Palestine flag [Pexels/Seyma D.]Apple CEO Tim Cook and other memb…","2024-04-02T16:52:42Z","AppleInsider"
"Ramy Youssef Says Free Palestine & Hostages During ‘SNL’ Monologue","Ramy Youssef got political for his opening monologue on ""Saturday Night Live"" ... asking God to free Palestine, as well as the Israeli hostages. The comedian touched on the conflict Saturday, recounting an anecdote involving 2 of his friends ...…","2024-03-31T20:39:25Z","TMZ"
"Thousands around the world rally for Palestinians on Al-Quds Day","The globally observed day of solidarity is held on the last Friday of Ramadan to express support for Palestine.","2024-04-05T16:14:20Z","Al Jazeera English"
"Storm Over Columbia","On December 24, 2023, the NYR Online published an essay by Nadia Abu El-Haj about the crackdown on pro-Palestinian speech at Columbia University and Barnard College, where she holds the Ann Whitney Olin professorship in the anthropology department and codirec…","2024-04-27T18:42:35Z","The New York Review of Books"
"American Flag Set Ablaze During Gaza Protest in Brooklyn","A pro-Palestinian protester set an American flag on fire as crowds opposing the war in Gaza rallied outside Brooklyn Borough Hall in New York City on Monday,...","2024-04-16T17:21:57Z","Yahoo Entertainment"
"Police arrest 93 in LA as Gaza protests intensify in US","Dozens are taken into custody as police clear an encampment at the University of Southern California.","2024-04-25T10:47:53Z","BBC News"
"Jerusalem Flag autoprediction bug is fixed in iOS 17.5 developer beta","Apple's second iOS 17.5 developer beta has fixed a bug that showed the Palestinian flag in the predictive text system when users typed in ""Jerusalem.""An example of the Jerusalem flag bug in iMessage for iOS. On April 10, complaints were made to social media t…","2024-04-16T18:27:35Z","AppleInsider"
"Palestinian Voices Shine Despite Absence of National Pavilion at Venice Biennale","Demonstrations arose against Israel’s involvement in the Venice Biennale, even though the Israel Pavilion stayed closed. Palestine couldn't host a pavilion as Italy, like many EU countries, doesn't recognize it. The curator of this year's edition, Adriano Ped…","2024-04-19T15:04:35Z","HYPEBEAST"
"Alec Baldwin Clashes With Anti-Israel Protester In NYC Coffee Shop","Alec Baldwin got into a dust-up with an anti-Israel protester in NYC ... smacking away her cell phone after he was provoked by her. The actor was talking on his mobile phone inside a Manhattan coffee shop when a pro-Palestine agitator started video…","2024-04-23T12:15:45Z","TMZ"
"Ireland, Spain, Norway moving closer to recognising a Palestinian state","Spanish PM Pedro Sanchez says declarations on Palestine will be made ""when the conditions are appropriate"".","2024-04-12T20:56:37Z","Al Jazeera English"
"Are US campus protests against Israel’s war on Gaza going global?","From France to Australia, students are part of pro-Palestine protests as Columbia students continue encampments.","2024-04-26T14:30:51Z","Al Jazeera English"
"Are colleges obstructing free speech for Pro-Palestinian student activists?","Marc Lamont Hill discusses student activism for Palestine with Columbia University student organiser Maryam Alwan.","2024-04-26T14:02:33Z","Al Jazeera English"
"Blocks from the White House, US students stand steadfast with Gaza","Palestine solidarity encampment springs up at George Washington University despite crackdown and arrests across US.","2024-04-25T22:18:32Z","Al Jazeera English"
"The Rape Denialists","Why has it proved so hard for so many on the left to acknowledge what happened on October 7?","2024-04-17T13:50:29Z","The Atlantic"
"Canceling Palestine","Current debates about Israeli policy are rife with double standards, leading to absurd decisions like Germany’s recent cancellation of a pro-Palestinian gathering. By quashing legitimate speech and assembly, an Israel-aligned establishment risks inciting prec…","2024-04-23T15:00:00Z","Project Syndicate"
"No One Has a Right to Protest in My Home","The difference between a private yard and a public forum","2024-04-26T10:00:00Z","The Atlantic"
"Pro-Palestine Protest Blocks Chicago Airport Entrance, Forces Flyers to Walk","Pro-Palestinian protesters disrupted many Chicago travelers' plans by blocking the entrance to the O'Hare International Airport ... forcing several people to hoof it by foot to the terminal. Check it out ... protesters blocked the I-190 access road…","2024-04-15T18:08:53Z","TMZ"
"PEN America Is Fighting For Its Life","The free-speech group has now canceled its annual World Voices festival, after calling off its literary awards ceremony last week. Can it survive?","2024-04-26T18:30:00Z","The Atlantic"
"Why USC canceled its pro-Palestinian valedictorian","USC says it canceled valedictorian Asna Tabassum’s speech over safety. She says it was because of her political views.","2024-04-18T21:45:00Z","Vox"
"‘Silence the guns,’ says UN Chief in speech marking 6 months of war on Gaza","Israel has brought “relentless death and destruction” to Gaza, says UN Chief in speech marking 6 months of war.","2024-04-05T16:21:34Z","Al Jazeera English"
"Australia hints it could recognise Palestinian state","Foreign Minister Penny Wong says the global community is frustrated by a lack of progress on peace.","2024-04-10T02:58:49Z","BBC News"
"Inside the Pro-Palestine Movement Bird-Dogging Biden Everywhere He Goes","These activists turned Joe Biden’s New York City ritzy fundraiser with Obama and Clinton into a night of protests against Israel’s war in Gaza.","2024-04-09T14:00:00Z","Rolling Stone"
"Across the Western world, public opinion on Palestine is finally shifting","The brutality of Israel's war on Gaza has opened Western eyes to the suffering of the Palestinian people.","2024-04-26T11:26:52Z","Al Jazeera English"
"Columbia University’s President Rebuts Claims School Has Become a Hotbed of Bias, Hatred","(WASHINGTON, D.C.) — The president of Columbia University took a firm stand against antisemitism Wednesday as she parried accusations from Republicans who see the New York campus as a hotbed of bias, but she hedged on whether certain phrases invoked by some s…","2024-04-17T21:18:08Z","Time"
"New York Times Simulator Is A Gripping Exploration Of Modern Media Pitfalls","The goal of The New York Times Simulator, a new, free game, is simple: keep readers happy and don’t get shut down. It’s a problem any modern media outlet knows well. But this new game doesn’t just make you any old journalist struggling to make a living in tod…","2024-04-02T19:15:00Z","Kotaku"
"[Removed]","[Removed]","1970-01-01T00:00:00Z","[Removed]"
"Germany cancels pro-Palestine event, bars entry to Gaza war witness","Authorities halt Palestine Congress, saying one of the speakers was subject to a ban on political activity in Germany.","2024-04-12T19:37:18Z","Al Jazeera English"
"Hochschulen: Uni Köln lädt US-Philosophin wegen Israel-Haltung aus","Hier finden Sie Informationen zu dem Thema „Hochschulen“. Lesen Sie jetzt „Uni Köln lädt US-Philosophin wegen Israel-Haltung aus“.","2024-04-11T12:46:33Z","Die Zeit"
"Protest group says Google has fired more staff over sit-ins opposing work for Israel","Group of now-ex Googlers say 50 folks have been let go, vow ongoing protests
After firing 28 people for protesting its cloud deal with Israel by occupying its offices, Google reportedly spent the weekend letting go of more staff to bring the number of employe…","2024-04-22T23:03:57Z","Theregister.com"
"Columbia Suspended Two Students for Assault on Gaza Rally, School Says in Antisemitism Hearing","In congressional testimony, school administrators also said they are investigating pro-Israel and pro-Palestine professors.
The post Columbia Suspended Two Students for Assault on Gaza Rally, School Says in Antisemitism Hearing appeared first on The Intercept.","2024-04-17T23:58:01Z","The Intercept"
"The Unreality of Columbia’s ‘Liberated Zone’","What happens when genuine sympathy for civilian suffering mixes with a fervor that borders on the oppressive?","2024-04-22T23:32:17Z","The Atlantic"
"Iran vs Israel: Deterrence, drama or distraction?","In the flurry of headlines about Iran’s retaliation against Israel, the Gaza story takes a hit.","2024-04-20T10:58:18Z","Al Jazeera English"
"‘I’ve lost everything’: Palestine footballer Balah on Israel’s war on Gaza","Gaza-born forward Mohammed Balah tells Al Jazeera how the war has brought his promising football career to a halt.","2024-04-02T12:40:16Z","Al Jazeera English"
"Biden condemns ‘blatant’ anti-Semitism at Columbia pro-Palestine protests","Biden's remarks come after footage emerges appearing to show Jewish students being threatened with repeat of October 7.","2024-04-22T02:46:04Z","Al Jazeera English"
"The solidarity of shared trauma: De-exceptionalising Gaza","The genocide in Gaza is reshaping psychic life and political imaginations far beyond Palestine.","2024-04-11T09:29:22Z","Al Jazeera English"
"From LA to NY, student protests in support of Palestine grow strong in US","Students keep protesting at universities across the US as law enforcement steps in to remove protesters from campuses.","2024-04-27T13:11:27Z","Al Jazeera English"
"Marc Lamont Hill Says Anti-Semitism at Columbia Protests Not the Norm","Professor and activist Marc Lamont Hill is weighing in on the pro-Palestine protests on the Columbia campus, saying recent antisemitic acts are the work of a few bad apples, and not the majority of students. We got the former CNN commentator and…","2024-04-23T23:44:37Z","TMZ"
"Scream Star Melissa Barrera Wants To Be In Scary Movie 6","After an 11-year hiatus, there's another installment of Scary Movie in the works. And if Paramount is looking for a new lead actress, former Scream star Melissa Barrera is open for the chance to star in Scary Movie 6 and spoof her former franchise.""I always l…","2024-04-18T20:13:00Z","GameSpot"
"Satellite images show Israeli forces gathered for Gaza escalation","Analysis of images by Al Jazeera's Sanad unit shows hundreds of military vehicles deployed at bases near Gaza.","2024-04-23T07:56:46Z","Al Jazeera English"
"A victory for anti-Zionists in the UK","A landmark employment tribunal cleared David Miller’s name and gave the UK’s anti-Zionists renewed courage to speak up.","2024-04-08T15:25:47Z","Al Jazeera English"
"The cracks are deepening in the US-Israel alliance","Cracks in the special US-Israel relationship cannot be hidden any longer - rifts are showing.","2024-03-30T10:34:01Z","Al Jazeera English"
"Dreamers: Notes on Session 1 of TED2024","It’s time for TED! And this year’s conference marks a big year: the 40th anniversary of TED, honoring the inaugural conference in 1984. With that in mind, TED2024 kicked off with a classically eclectic opening session, ranging from a powerful conversation on …","2024-04-16T17:00:04Z","Ted.com"
"Will the Palestinian tech sector decouple from Israel?","Palestinian tech sector has relied on the outsourcing of work from Israel, but many contracts have now been torn up.","2024-04-13T08:04:37Z","Al Jazeera English"
"Official Trailer for Sci-Fi Doc 'Lyd' - About an Ancient City in Palestine","""I want to prosper again."" Icarus Films has revealed an official trailer for Lyd, a documentary film about a Palestinian city that is now an Israeli city. This is opening in the US in very limited theaters (starting in New York at the Firehouse Cinema) later …","2024-04-09T13:21:20Z","First Showing"
"New Trailer for Doc 'H2: The Occupation Lab' About a Palestinian City","""As a Palestinian here, I don't exist."" Film Movement has revealed an official trailer for a documentary film titled H2: The Occupation Lab, from filmmakers Idit Avrahami & Noam Sheizaf. It was originally made and finished in 2022 before the current Israel-Pa…","2024-04-21T15:12:14Z","First Showing"
"A Saturday Night Live Monologue That Felt More Like Prayer","Ramy Youssef brought a politics of care to his first time hosting the show.","2024-03-31T17:14:43Z","The Atlantic"
"Bowen: Obstacles to peace seem larger than ever","The risk of an all-out Middle East war is increasing as the crisis in Gaza grows ever more desperate.","2024-04-07T04:49:36Z","BBC News"
"As Gaza is pummelled, is Serbia secretly sending weapons to Israel?","According to media reports, arms exports have grown during wartime in another sign of ever warming ties.","2024-04-10T12:49:53Z","Al Jazeera English"
"Leaked Cables Show White House Opposes Palestinian Statehood","Despite Biden’s pledge to support a two-state solution, cables argue that Palestine should not be granted U.N. member status.
The post Leaked Cables Show White House Opposes Palestinian Statehood appeared first on The Intercept.","2024-04-17T19:08:59Z","The Intercept"
"‘Blatant aggression’: Reactions to US veto of Palestine’s UN membership bid","The vote in the 15-member Security Council was 12 in favour and two abstentions - the UK and Switzerland.","2024-04-19T08:53:09Z","Al Jazeera English"
"UK’s Eurovision Entry Olly Alexander Rejects Call To Boycott Contest Over Israel-Gaza Conflict","This year’s UK Eurovision entry has rejected calls for him to boycott this year’s Song Contest in protest at Israel being included in the competition. Pop star Olly Alexander responded Friday to an open letter from Queers for Palestine, signed by more than 45…","2024-03-30T09:06:05Z","Deadline"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
