"Title","Description","PublishedAt","Source"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
"Rep. Ilhan Omar’s Daughter Suspended for Involvement in Columbia Protest","Isra Hirsi, the Democratic congresswoman’s daughter, was part of a tent encampment, organized to protest the war in Gaza, that has escalated tensions on campus.","2024-04-18T18:02:07+0000","The New York Times"
"How the War in Gaza Mobilized the American Left","As the death toll in Gaza climbed, the pro-Palestinian movement grew into a powerful, if disjointed, political force in the United States. Democrats are feeling the pressure.","2024-04-12T09:00:17+0000","The New York Times"
"The Appalling Tactics of the ‘Free Palestine’ Movement","What does it say about a cause that won’t weed out its worst members or stamp out its worst ideas?","2024-04-02T23:00:05+0000","The New York Times"
"Tensions Flare in West Bank After Israeli Teenager Is Found Dead","The killing, which Israel called a “terrorist attack,” prompted rioting by Israeli settlers that killed one Palestinian and raised fears of a broader escalation.","2024-04-13T23:15:05+0000","The New York Times"
"U.S. and Allies Penalize Iran for Striking Israel, and Try to Avert War","While imposing sanctions on Iran, U.S. and European governments are urging restraint amid fears of a cycle of escalation as Israel weighs retaliation for an Iranian attack.","2024-04-18T23:57:41+0000","The New York Times"
"At Venice Biennale, Israel’s Show Is Halted, but Protests Go On","The country’s exhibition was already closed after its artist refused to exhibit her work until there was a cease-fire and hostage deal in Gaza. But that didn’t calm the discontent.","2024-04-17T14:55:25+0000","The New York Times"
"Israel Has a Choice to Make: Rafah or Riyadh","Israel is facing one of the most fateful choices it has ever had to make.","2024-04-26T20:48:46+0000","The New York Times"
"An Unexpected Player in Israel’s Defense: Jordan, Home to Many Palestinians","The Arab kingdom said it took military action to defend its territory against Iranian drone and missile strikes. Critics assailed the country as having helped defend Israel.","2024-04-14T14:28:03+0000","The New York Times"
"Israeli Officials Believe I.C.C. Is Preparing Arrest Warrants Over War","The officials said they believed that Prime Minister Benjamin Netanyahu and other Israelis could be charged, and that the court was also considering warrants for Hamas leaders.","2024-04-28T21:51:08+0000","The New York Times"
"Biden’s Small Win — and Bigger Failure — in the Middle East","In the last two weeks, the president worked to avoid an immediate disaster. But it’s his own policies that have set the region on its current dangerous trajectory.","2024-04-21T13:00:32+0000","The New York Times"
